observed_date,generated_at_utc,market,code,ticker,name,target_source,data_status,confidence,free_float_ratio,free_float_shares,shares_outstanding,float_market_cap,current_price,avg_volume_30d,current_volume,avg_turnover_30d,current_turnover,one_day_capacity_at_participation_rate,current_volume_ratio_30d,avg_daily_float_turnover_ratio,current_float_turnover_ratio,short_percent_float,shares_short,shares_short_prior_month,short_interest_change_ratio,days_to_cover,held_percent_insiders,held_percent_institutions,daily_change_pct,free_float_source,free_float_source_tier,liquidity_source,short_source,source_url,source_retrieved_at,short_interest_as_of,price_as_of,context_flags,data_quality_flags
2026-09-14,2026-09-13T22:28:59+00:00,JP,6927,6927.T,"Helios Techno Holding Co.,Ltd.",screening,ok,0.7,0.6827199948081903,12392506.0,18151667.0,11983553669.986076,967.0,56103.0,40300.0,53104416.666666664,38970100.0,5310441.666666667,0.7183216583783398,0.004527171501873793,0.003251965340989143,,,,,,0.10182,0.36652002,-0.0030927833999999997,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/6927.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,4763,4763.T,"CREEK & RIVER Co.,Ltd.",screening,ok,0.7,0.4166399884846593,8822448.0,21175231.0,12836662419.546225,1455.0,49312.0,35400.0,65087000.0,51507000.0,6508700.0,0.7178780012978585,0.0055893783675460594,0.004012491770991453,,,,,,0.51054,0.13725,-0.009530293,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/4763.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,5351,5351.T,"SHINAGAWA REFRA CO.,LTD.",screening,ok,0.7,0.557309997650829,25431794.0,45633120.0,51245064107.4736,2015.0,115552.0,126800.0,233175800.0,255502000.0,23317580.0,1.0973414566602049,0.004543603962819139,0.004985884991047034,,,,,,0.40639,0.20515,0.003986049,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/5351.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,8473,8473.T,"SBI Holdings,Inc.",screening,ok,0.7,0.8994958972956602,581426675.0,646391692.0,1896613818937.5488,3262.0,4154280.0,2905500.0,13776426346.666668,9477741000.0,1377642634.666667,0.6993991738640631,0.0071449766215146565,0.004997190746365395,,,,,,0.17643999,0.46098,-0.008510638000000001,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/8473.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,US,DBRG,DBRG,"DigitalBridge Group, Inc.",screening,ok,0.7,0.908229999665965,170288839.0,187495281.0,2707592373.0765033,15.9,3511787.0,10236792.0,58926260.40533333,162764992.8,5892626.040533334,2.9149808914948427,0.02062253181490068,0.060114286174679954,0.0659,12310093.0,12853886.0,-0.04230572762198137,3.06,0.0369,0.010117099000000001,-0.0012563099999999998,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/DBRG,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:03+00:00,HIGH_FLOAT_TURNOVER|VOLUME_EXPANSION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,3635,3635.T,"KOEI TECMO HOLDINGS CO.,LTD.",screening,ok,0.7,0.37631020327800013,125776962.0,334237448.0,206840212574.5055,1644.5,1152453.0,718800.0,1580463170.0,1182066600.0,158046317.0,0.6237130711621212,0.009162671618670517,0.005714878055330991,,,,,,0.6098,0.17812,0.0067340064,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/3635.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,US,ADAM,ADAM,"Adamas Trust, Inc. - Common Stock",screening,ok,0.7,0.9381800041223952,84323418.0,89879786.0,766499848.2857867,9.09,896170.0,1022881.0,7918813.21,9297988.29,791881.321,1.1413917002354463,0.010627771279385283,0.012130449930291014,0.0419,3121326.0,2946071.0,0.05948770413204563,3.58,0.0673,0.57608,-0.0065573186000000006,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ADAM,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,US,CMBT,CMBT,CMB.TECH NV Ordinary Shares,screening,ok,0.7,0.3831399989845255,111175645.0,290169769.0,2165701382.1793838,19.48,1053635.0,845202.0,20993222.208,16464534.96,2099322.2208000002,0.8021772245606875,0.009477210588704028,0.007602402486623756,0.007900001,873518.0,1061520.0,-0.17710641344487155,0.87,0.56571,0.17355,0.00515998,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/CMBT,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:02+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,8789,8789.T,FinTech Global Incorporated,screening,ok,0.7,0.8353899981648155,160838511.0,192531047.0,25573321971.688694,159.0,1103906.0,1104300.0,264175320.0,175583700.0,26417532.0,1.0003569144474258,0.0068634432956171795,0.006865892957688473,,,,,,0.14125,0.0321,-0.018518517999999998,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/8789.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,US,HTGC,HTGC,"Hercules Capital, Inc. Common Stock",screening,ok,0.7,0.9162066209313757,171480896.0,187164000.0,2985482348.052429,17.41,1520953.0,860148.0,29566929.560333334,14975176.68,2956692.9560333337,0.5655322682554951,0.008869518619730095,0.005015998983350309,0.0473,8676895.0,10995680.0,-0.2108814552624303,4.86,0.01966,0.36435002,0.00115011,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/HTGC,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:02+00:00,SHORT_INTEREST_FALLING,
2026-09-14,2026-09-13T22:28:59+00:00,US,ACNB,ACNB,ACNB Corporation - Common Stock,screening,ok,0.7,0.9597700279156297,9760794.0,10169930.0,636306213.9352826,65.19,76529.0,63414.0,4513391.475333333,4133958.6599999997,451339.14753333334,0.8286270564099883,0.007840448225830809,0.006496807534305099,0.0419,409589.0,298559.0,0.37188629383137006,5.99,0.03907,0.41347,0.0026146694999999998,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ACNB,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:01+00:00,SHORT_CROWDING|SHORT_INTEREST_RISING,
2026-09-14,2026-09-13T22:28:59+00:00,US,LPG,LPG,Dorian LPG Ltd. Common Stock,screening,ok,0.7,0.8583800066199685,36723798.0,42782681.0,2026419131.0815194,55.18,661377.0,377092.0,30921427.894666664,20807936.56,3092142.7894666665,0.5701619499922133,0.018009493462522584,0.010268327910963894,0.059699997,1880142.0,2324680.0,-0.19122545898790366,3.4,0.14227,0.74677,0.0141518,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/LPG,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:03+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,3989,3989.T,SHARINGTECHNOLOGY.INC,screening,ok,0.7,0.37518996589775494,8978772.0,23931269.0,13863222992.506088,1544.0,303553.0,1548700.0,563590880.0,2391192800.0,56359088.0,5.101909715930991,0.03380785256603019,0.17248461148139188,,,,,,0.11089,0.58975,-0.00064724915,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/3989.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,HIGH_FLOAT_TURNOVER|VOLUME_EXPANSION,
2026-09-14,2026-09-13T22:28:59+00:00,US,EXE,EXE,Expand Energy Corporation - Common Stock,screening,ok,0.7,0.9949300009081061,230330065.0,231503789.0,21842201028.16651,94.83,3415306.0,3501273.0,242480247.057,332025718.59,24248024.705700003,1.0251710974067916,0.014827877550418787,0.015201111500576358,0.0364,8403425.0,8615910.0,-0.024661933562444394,3.23,0.0036000002,0.96375,-0.02105916,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/EXE,2026-09-13T22:28:49+00:00,2026-08-31T00:00:00+00:00,2026-09-11T20:00:01+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,2726,2726.T,パルグループホールディングス,watchlist,ok,0.7,0.5721834578123286,99020070.0,173056506.0,146648730805.12772,1481.0,849187.0,884900.0,1257645947.0,1310536900.0,125764594.7,1.0420555189846288,0.008575907894227908,0.008936572151484037,,,,,,0.41304,0.28685,-0.0026936024,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/2726.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,NO_EXCEPTION,
2026-09-14,2026-09-13T22:28:59+00:00,JP,215A,215A.T,タイミー,watchlist,ok,0.7,0.6426599969918524,64096207.0,99735797.0,83325069734.94807,1300.0,1919092.0,11337000.0,2494819600.0,14738100000.0,249481960.0,5.907481246339414,0.0299408044535303,0.17687474080954588,,,,,,0.29632,0.35139,-0.16613213999999998,Yahoo Finance via yfinance,secondary,Yahoo Finance via yfinance,,https://finance.yahoo.com/quote/215A.T,2026-09-13T22:28:49+00:00,,2026-09-11T06:30:00+00:00,HIGH_FLOAT_TURNOVER|VOLUME_EXPANSION|PRICE_DOWN_ON_VOLUME_EXPANSION,
